vertex,fsaverage_vertex,parcel,mni152_r,mni152_a,mni152_s
19462,251405,SalVentAttnA_FrMed_5_RH,3.102,4.382,55.958
19463,251436,SalVentAttnA_FrMed_5_RH,1.694,5.996,51.610
19464,251448,ContA_PFCd_1_RH,25.841,2.534,51.750
19465,251453,SalVentAttnA_FrMed_5_RH,1.116,4.879,50.491
19466,251462,ContA_PFCd_1_RH,23.972,2.743,50.908
19467,251466,SalVentAttnA_FrMed_5_RH,1.680,5.504,47.736
19468,251483,SalVentAttnA_FrMed_3_RH,4.820,4.590,44.523
19469,251484,SalVentAttnA_FrMed_3_RH,5.045,6.560,44.647
19470,251490,SalVentAttnA_PrC_1_RH,44.254,7.061,45.130
19471,251501,SalVentAttnA_PrC_1_RH,47.802,6.738,44.423
19472,251507,SalVentAttnA_PrC_1_RH,42.070,6.808,44.024
19473,251515,SalVentAttnA_FrMed_3_RH,8.207,3.957,42.511
19474,251516,SalVentAttnA_FrMed_3_RH,7.871,4.726,42.877
19475,251537,SalVentAttnA_PrC_1_RH,52.370,6.846,42.440
19476,251561,SalVentAttnA_FrMed_1_RH,2.569,4.885,43.524
19477,251573,SalVentAttnA_FrMed_1_RH,1.178,4.728,41.984
19478,251576,SalVentAttnA_PrC_1_RH,57.504,6.832,40.554
19479,251595,SalVentAttnA_FrMed_1_RH,1.481,4.592,36.428
19480,251627,DorsAttnB_PrCv_1_RH,43.876,4.931,34.832
19481,251647,ContA_PFCl_7_RH,36.988,6.414,32.162
19482,251708,ContA_PFCl_6_RH,48.472,5.960,22.833
19483,251725,ContA_PFCl_6_RH,46.873,6.077,21.915
19484,251750,SalVentAttnA_FrOper_5_RH,50.546,7.453,19.198
19485,251758,SalVentAttnA_Ins_6_RH,36.861,2.772,15.361
19486,251765,SalVentAttnA_FrOper_2_RH,38.587,2.998,14.561
19487,251790,SalVentAttnA_Ins_6_RH,34.302,4.395,12.499
19488,251793,SomMotB_S2_6_RH,64.885,5.020,11.788
19489,251814,Background+FreeSurfer_Defined_Medial_Wall,-0.237,3.330,12.812
19490,251825,SomMotB_S2_6_RH,58.569,1.259,8.978
19491,251827,SalVentAttnA_Ins_5_RH,34.458,4.782,10.500
19492,251869,Background+FreeSurfer_Defined_Medial_Wall,0.856,3.545,3.976
19493,251878,SalVentAttnA_Ins_5_RH,43.892,5.057,1.218
19494,251896,SomMotB_Aud_1_RH,61.344,5.917,-0.297
19495,251899,SalVentAttnA_Ins_3_RH,44.802,3.200,-5.764
19496,251928,TempPar_1_RH,62.618,5.342,-8.602
19497,251929,SomMotB_Aud_1_RH,50.377,5.470,-4.074
19498,251934,TempPar_1_RH,61.523,5.355,-10.713
19499,251937,SomMotB_Aud_1_RH,48.469,5.134,-5.671
19500,251946,Background+FreeSurfer_Defined_Medial_Wall,1.742,3.672,-8.901
19501,251957,Background+FreeSurfer_Defined_Medial_Wall,2.388,3.900,-10.958
19502,251962,SalVentAttnA_Ins_1_RH,40.435,5.916,-12.552
19503,251996,Background+FreeSurfer_Defined_Medial_Wall,27.880,5.087,-17.494
19504,252000,Background+FreeSurfer_Defined_Medial_Wall,25.228,4.491,-15.810
19505,252004,Background+FreeSurfer_Defined_Medial_Wall,14.943,3.507,-14.619
19506,252010,SalVentAttnA_Ins_1_RH,39.494,5.671,-15.253
19507,252036,SalVentAttnA_Ins_1_RH,37.435,7.207,-18.713
19508,252037,Background+FreeSurfer_Defined_Medial_Wall,27.268,5.342,-21.052
19509,252052,SalVentAttnA_Ins_1_RH,42.521,4.767,-19.048
19510,252056,LimbicA_TempPole_7_RH,37.938,8.772,-21.155
19511,252073,SalVentAttnA_Ins_1_RH,39.671,6.880,-19.814
19512,252075,LimbicA_TempPole_7_RH,30.126,5.448,-23.380
19513,252078,DefaultB_AntTemp_1_RH,58.729,10.317,-24.547
19514,252084,DefaultB_AntTemp_1_RH,57.069,11.671,-25.338
